hotel_id;seccion;poi
5;¿Qué hay cerca?;"Ministerio de Asuntos Exteriores
250 m"
5;¿Qué hay cerca?;"Parroquia Santo Cristo Del Olivar
250 m"
5;¿Qué hay cerca?;"Palacio de Viana
300 m"
5;¿Qué hay cerca?;"Puerta del Sol
350 m"
5;¿Qué hay cerca?;"San Ignacio De Loyola
400 m"
5;¿Qué hay cerca?;"Clue Hunter Madrid
400 m"
5;¿Qué hay cerca?;"Plaza de Santa Ana
450 m"
5;¿Qué hay cerca?;"Plaza Mayor de Madrid
450 m"
5;Restaurantes y cafeterías;"RestauranteRestaurante Terrorificus
20 m"
5;Restaurantes y cafeterías;"Cafetería/barSweet
20 m"
5;Restaurantes y cafeterías;"RestauranteCafetería Rincón de Atocha
100 m"
5;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
900 m"
5;Atracciones turísticas destacadas;"Plaza de Oriente
1,1 km"
5;Atracciones turísticas destacadas;"Museo Reina Sofía
1,1 km"
5;Atracciones turísticas destacadas;"Jardín Botánico de Madrid
1,2 km"
5;Atracciones turísticas destacadas;"Plaza de Cibeles
1,3 km"
5;Atracciones turísticas destacadas;"Jardines de Sabatini
1,4 km"
5;Atracciones turísticas destacadas;"Parque de El Retiro
1,7 km"
5;Atracciones turísticas destacadas;"Templo de Debod
1,9 km"
5;Atracciones turísticas destacadas;"Casa de Campo
2,4 km"
5;Transporte público;"MetroEstación de metro Tirso de Molina
250 m"
5;Transporte público;"MetroEstación de metro Sol
350 m"
5;Transporte público;"TrenEmbajadores
1,2 km"
5;Transporte público;"TrenEstación de tren de Atocha
1,5 km"
5;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
5;Transporte público;"AutobúsVital Aza - Ezequiel Solana
6 km"
5;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
5;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
6;¿Qué hay cerca?;"Palacio De Miraflores
150 m"
6;¿Qué hay cerca?;"Edificio Plus Ultra
300 m"
6;¿Qué hay cerca?;"Ateneo De Madrid
300 m"
6;¿Qué hay cerca?;"Ministerio de Educación y Ciencia
300 m"
6;¿Qué hay cerca?;"Museo Thyssen-Bornemisza
300 m"
6;¿Qué hay cerca?;"Casino De Madrid
350 m"
6;¿Qué hay cerca?;"Real Academia de las Artes de San Fernando
350 m"
6;¿Qué hay cerca?;"Plaza de Santa Ana
400 m"
6;¿Qué hay cerca?;"Iglesia De San José
450 m"
6;¿Qué hay cerca?;"Edificio Metrópolis
500 m"
6;Restaurantes y cafeterías;"RestauranteLa Ancha
0 m"
6;Restaurantes y cafeterías;"Cafetería/barDumbarton Club
0 m"
6;Restaurantes y cafeterías;"RestauranteCasa Julia
10 m"
6;Atracciones turísticas destacadas;"Puerta del Sol
550 m"
6;Atracciones turísticas destacadas;"Plaza de Cibeles
750 m"
6;Atracciones turísticas destacadas;"Jardín Botánico de Madrid
900 m"
6;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
900 m"
6;Atracciones turísticas destacadas;"Puerta de Alcalá
1,1 km"
6;Atracciones turísticas destacadas;"Museo Reina Sofía
1,2 km"
6;Atracciones turísticas destacadas;"Plaza de Oriente
1,3 km"
6;Atracciones turísticas destacadas;"Parque de El Retiro
1,4 km"
6;Atracciones turísticas destacadas;"Templo de Debod
2,1 km"
6;Atracciones turísticas destacadas;"Casa de Campo
2,6 km"
6;Entorno natural;"BosqueMonte del Pilar
15 km"
6;Transporte público;"MetroEstación de metro Sevilla
300 m"
6;Transporte público;"MetroEstación de metro Banco de España
450 m"
6;Transporte público;"TrenRecoletos
1,4 km"
6;Transporte público;"TrenEstación de tren de Atocha
1,6 km"
6;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
6;Transporte público;"AutobúsVital Aza - Ezequiel Solana
5 km"
6;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
12 km"
6;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
21 km"
7;¿Qué hay cerca?;"Ministerio de Educación y Ciencia
150 m"
7;¿Qué hay cerca?;"Edificio Banco Central
200 m"
7;¿Qué hay cerca?;"Iglesia De San José
200 m"
7;¿Qué hay cerca?;"Edificio Metrópolis
250 m"
7;¿Qué hay cerca?;"Museo Thyssen-Bornemisza
300 m"
7;¿Qué hay cerca?;"Edificio Plus Ultra
350 m"
7;¿Qué hay cerca?;"El Secreto de Bruno
400 m"
7;¿Qué hay cerca?;"Palacio De Miraflores
400 m"
7;¿Qué hay cerca?;"Fuente de Cibeles
450 m"
7;¿Qué hay cerca?;"Plaza de Cibeles
500 m"
7;Restaurantes y cafeterías;"Cafetería/barThe Balcony Madrid
6 m"
7;Restaurantes y cafeterías;"RestauranteCasa Corona
40 m"
7;Restaurantes y cafeterías;"RestauranteBocanegra Madrid
40 m"
7;Atracciones turísticas destacadas;"Plaza de Santa Ana
600 m"
7;Atracciones turísticas destacadas;"Puerta del Sol
700 m"
7;Atracciones turísticas destacadas;"Puerta de Alcalá
750 m"
7;Atracciones turísticas destacadas;"Jardín Botánico de Madrid
900 m"
7;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
1,1 km"
7;Atracciones turísticas destacadas;"Museo Reina Sofía
1,3 km"
7;Atracciones turísticas destacadas;"Parque de El Retiro
1,4 km"
7;Atracciones turísticas destacadas;"Plaza de Oriente
1,5 km"
7;Atracciones turísticas destacadas;"Templo de Debod
2,1 km"
7;Atracciones turísticas destacadas;"Casa de Campo
2,8 km"
7;Transporte público;"MetroEstación de metro Banco de España
200 m"
7;Transporte público;"MetroEstación de metro Sevilla
400 m"
7;Transporte público;"TrenRecoletos
1,1 km"
7;Transporte público;"TrenEstación de tren de Atocha
1,6 km"
7;Transporte público;"AutobúsAlcala - Virgen del Sagrario
4,6 km"
7;Transporte público;"AutobúsVital Aza - Ezequiel Solana
5 km"
7;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
12 km"
7;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
21 km"
8;¿Qué hay cerca?;"Iglesia de Nuestra Señora de la Paz
250 m"
8;¿Qué hay cerca?;"Quinta Fuente del Berro
650 m"
8;¿Qué hay cerca?;"El Txoko de Martín
750 m"
8;¿Qué hay cerca?;"Torrespaña
750 m"
8;¿Qué hay cerca?;"Monasterio Ntra. Sra. Maravillas
1,1 km"
8;¿Qué hay cerca?;"La Concepción De Ntra. Sra.
1,2 km"
8;¿Qué hay cerca?;"Hospital Infantil Univ. Niño Jesús
1,2 km"
8;¿Qué hay cerca?;"Colegio de Nuestra Señora del Pilar
1,4 km"
8;¿Qué hay cerca?;"Parque del Buen Retiro
1,5 km"
8;¿Qué hay cerca?;"Puerta de Alcalá
1,5 km"
8;Restaurantes y cafeterías;"RestauranteRodilla
10 m"
8;Restaurantes y cafeterías;"RestauranteJacaranda
10 m"
8;Restaurantes y cafeterías;"RestauranteComarca de Aliste
150 m"
8;Atracciones turísticas destacadas;"Parque de El Retiro
1,6 km"
8;Atracciones turísticas destacadas;"Plaza de Cibeles
1,9 km"
8;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
2,3 km"
8;Atracciones turísticas destacadas;"Jardín Botánico de Madrid
2,5 km"
8;Atracciones turísticas destacadas;"Puerta del Sol
3 km"
8;Atracciones turísticas destacadas;"Museo Reina Sofía
3,1 km"
8;Atracciones turísticas destacadas;"Sorolla Museum
3,2 km"
8;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
3,3 km"
8;Atracciones turísticas destacadas;"Templo de Debod
4,2 km"
8;Atracciones turísticas destacadas;"Casa de Campo
4,9 km"
8;Entorno natural;"BosqueMonte de Valdelatas
13 km"
8;Transporte público;"MetroEstación de metro O'Donnell
350 m"
8;Transporte público;"MetroEstación de metro Goya
750 m"
8;Transporte público;"TrenRecoletos
2,1 km"
8;Transporte público;"TrenAtocha - Cercanías
2,8 km"
8;Transporte público;"AutobúsAlcala - Virgen del Sagrario
3 km"
8;Transporte público;"AutobúsEzequiel Solana - Fco. Villaespesa
2,9 km"
8;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
10 km"
8;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
20 km"
9;¿Qué hay cerca?;"Coliseum
150 m"
9;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
300 m"
9;¿Qué hay cerca?;"Monumento A Miguel De Cervantes
300 m"
9;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
350 m"
9;¿Qué hay cerca?;"El Invernadero
350 m"
9;¿Qué hay cerca?;"Iglesia San Marcos
400 m"
9;¿Qué hay cerca?;"Iglesia de la Buena Dicha
400 m"
9;¿Qué hay cerca?;"Lope De Vega
450 m"
9;¿Qué hay cerca?;"Monasterio de la Encarnacion
450 m"
9;¿Qué hay cerca?;"Palacio del Marqués de Grimaldi
500 m"
9;Restaurantes y cafeterías;"RestauranteGastrovía 61
3 m"
9;Restaurantes y cafeterías;"RestauranteIkigai
10 m"
9;Restaurantes y cafeterías;"RestauranteMiyama
10 m"
9;Atracciones turísticas destacadas;"Jardines de Sabatini
550 m"
9;Atracciones turísticas destacadas;"Plaza de Oriente
650 m"
9;Atracciones turísticas destacadas;"Templo de Debod
750 m"
9;Atracciones turísticas destacadas;"Puerta del Sol
850 m"
9;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
900 m"
9;Atracciones turísticas destacadas;"Plaza de Santa Ana
1,2 km"
9;Atracciones turísticas destacadas;"Casa de Campo
1,5 km"
9;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,7 km"
9;Atracciones turísticas destacadas;"Museo Reina Sofía
2,2 km"
9;Atracciones turísticas destacadas;"Parque de El Retiro
2,6 km"
9;Entorno natural;"BosqueMonte del Pilar
13 km"
9;Transporte público;"MetroEstación de metro Plaza de España
200 m"
9;Transporte público;"MetroEstación de metro Santo Domingo
200 m"
9;Transporte público;"TrenBilbao
1,4 km"
9;Transporte público;"TrenRecoletos
2 km"
9;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
9;Transporte público;"AutobúsMadre Antonia de Paris
6 km"
9;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
9;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
10;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
100 m"
10;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
100 m"
10;¿Qué hay cerca?;"El Invernadero
200 m"
10;¿Qué hay cerca?;"Palacio De La Prensa
250 m"
10;¿Qué hay cerca?;"Iglesia de la Buena Dicha
350 m"
10;¿Qué hay cerca?;"Palacio De Gaviria
400 m"
10;¿Qué hay cerca?;"Lope De Vega
400 m"
10;¿Qué hay cerca?;"Monasterio de la Encarnacion
400 m"
10;¿Qué hay cerca?;"Jardim del Retiro, Madrid
400 m"
10;¿Qué hay cerca?;"Iglesia de Ntra Sra del Carmen
450 m"
10;Restaurantes y cafeterías;"Cafetería/barTim Hortons
m"
10;Restaurantes y cafeterías;"RestauranteSushi Club
30 m"
10;Restaurantes y cafeterías;"RestauranteLa Alegría
10 m"
10;Atracciones turísticas destacadas;"Plaza de Oriente
500 m"
10;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
550 m"
10;Atracciones turísticas destacadas;"Puerta del Sol
600 m"
10;Atracciones turísticas destacadas;"Jardines de Sabatini
700 m"
10;Atracciones turísticas destacadas;"Plaza de Santa Ana
950 m"
10;Atracciones turísticas destacadas;"Templo de Debod
1,1 km"
10;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,4 km"
10;Atracciones turísticas destacadas;"Casa de Campo
1,7 km"
10;Atracciones turísticas destacadas;"Museo Reina Sofía
2 km"
10;Atracciones turísticas destacadas;"Parque de El Retiro
2,5 km"
10;Entorno natural;"BosqueMonte del Pilar
14 km"
10;Transporte público;"MetroEstación de metro Santo Domingo
150 m"
10;Transporte público;"MetroEstación de metro Callao
250 m"
10;Transporte público;"TrenBilbao
1,4 km"
10;Transporte público;"TrenRecoletos
2,3 km"
10;Transporte público;"AutobúsAlcala - Virgen del Sagrario
6 km"
10;Transporte público;"AutobúsMadre Antonia de Paris
6 km"
10;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
10;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
23 km"
11;¿Qué hay cerca?;"Oratorio Caballero De Gracia
100 m"
11;¿Qué hay cerca?;"Edificio Metrópolis
150 m"
11;¿Qué hay cerca?;"El 4 de Tapas
200 m"
11;¿Qué hay cerca?;"Ministerio de Educación y Ciencia
250 m"
11;¿Qué hay cerca?;"Iglesia De San José
250 m"
11;¿Qué hay cerca?;"Casino De Madrid
300 m"
11;¿Qué hay cerca?;"El Secreto de Bruno
300 m"
11;¿Qué hay cerca?;"Real Academia de las Artes de San Fernando
350 m"
11;¿Qué hay cerca?;"Edificio La Equitativa
350 m"
11;¿Qué hay cerca?;"Plaza de Santa Ana
550 m"
11;Restaurantes y cafeterías;"RestauranteRestaurante Bloved
0 m"
11;Restaurantes y cafeterías;"RestauranteEl Kuru
20 m"
11;Restaurantes y cafeterías;"RestauranteGran Clavel
30 m"
11;Atracciones turísticas destacadas;"Puerta del Sol
600 m"
11;Atracciones turísticas destacadas;"Plaza de Cibeles
600 m"
11;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
700 m"
11;Atracciones turísticas destacadas;"Puerta de Alcalá
900 m"
11;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
950 m"
11;Atracciones turísticas destacadas;"Parque de El Retiro
1,6 km"
11;Atracciones turísticas destacadas;"Museo Reina Sofía
1,6 km"
11;Atracciones turísticas destacadas;"Templo de Debod
1,8 km"
11;Atracciones turísticas destacadas;"Casa de Campo
2,4 km"
11;Entorno natural;"BosqueMonte del Pilar
14 km"
11;Transporte público;"MetroEstación de metro Sevilla
300 m"
11;Transporte público;"MetroEstación de metro Gran Vía
200 m"
11;Transporte público;"TrenRecoletos
1,2 km"
11;Transporte público;"TrenBilbao
1,3 km"
11;Transporte público;"AutobúsAlcala - Virgen del Sagrario
4,8 km"
11;Transporte público;"AutobúsJuan Perez Zuñiga - Torrelaguna
5 km"
11;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
12 km"
11;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
21 km"
12;¿Qué hay cerca?;"Ministerio De Agricultura
250 m"
12;¿Qué hay cerca?;"Museo Reina Sofía
250 m"
12;¿Qué hay cerca?;"Jardín Botánico de Madrid
400 m"
12;¿Qué hay cerca?;"Triángulo del Arte
400 m"
12;¿Qué hay cerca?;"Convento De Santa Isabel
400 m"
12;¿Qué hay cerca?;"Monumento Víctimas Terrorismo 11 M
500 m"
12;¿Qué hay cerca?;"Parroquia El Salvador Y S. Nicolás
650 m"
12;¿Qué hay cerca?;"Iglesia Jesús De Medinacelli
700 m"
12;¿Qué hay cerca?;"Esto es una Plaza
750 m"
12;¿Qué hay cerca?;"San Lorenzo
750 m"
12;Restaurantes y cafeterías;"RestauranteTablafina
7 m"
12;Restaurantes y cafeterías;"RestauranteRoost Chicken
50 m"
12;Restaurantes y cafeterías;"RestauranteDubbidú
50 m"
12;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
850 m"
12;Atracciones turísticas destacadas;"Plaza de Santa Ana
1,2 km"
12;Atracciones turísticas destacadas;"Parque de El Retiro
1,3 km"
12;Atracciones turísticas destacadas;"Plaza de Cibeles
1,3 km"
12;Atracciones turísticas destacadas;"Puerta de Alcalá
1,5 km"
12;Atracciones turísticas destacadas;"Puerta del Sol
1,5 km"
12;Atracciones turísticas destacadas;"Plaza Mayor de Madrid
1,6 km"
12;Atracciones turísticas destacadas;"Plaza de Oriente
2,3 km"
12;Atracciones turísticas destacadas;"Templo de Debod
3,1 km"
12;Atracciones turísticas destacadas;"Casa de Campo
3,6 km"
12;Transporte público;"MetroEstación de metro Atocha
50 m"
12;Transporte público;"TrenEstación de tren de Atocha
300 m"
12;Transporte público;"TrenAtocha - Cercanías
550 m"
12;Transporte público;"MetroAtocha Renfe
550 m"
12;Transporte público;"AutobúsAlcala - Virgen del Sagrario
5 km"
12;Transporte público;"AutobúsEzequiel Solana - Fco. Villaespesa
5 km"
12;Aeropuertos más cercanos;"Aeropuerto Adolfo Suárez Madrid - Barajas
13 km"
12;Aeropuertos más cercanos;"Aeropuerto de Madrid – Torrejón
22 km"
13;¿Qué hay cerca?;"Palacio De Gaviria
200 m"
13;¿Qué hay cerca?;"Palacio De La Prensa
250 m"
13;¿Qué hay cerca?;"Mala Sangre Tattoo Studio
250 m"
13;¿Qué hay cerca?;"Parque Infantil Plaza de Santo Domingo
300 m"
13;¿Qué hay cerca?;"Jardim del Retiro, Madrid
350 m"
13;¿Qué hay cerca?;"Iglesia de Ntra Sra del Carmen
350 m"
13;¿Qué hay cerca?;"Frontal De Ntra. Sra. De Peñalba
350 m"
13;¿Qué hay cerca?;"Plaza Mayor de Madrid
400 m"
13;¿Qué hay cerca?;"Carlos III Rey de España
400 m"
13;¿Qué hay cerca?;"El Invernadero
400 m"
13;Restaurantes y cafeterías;"RestauranteAntigua Embajada
20 m"
13;Restaurantes y cafeterías;"RestauranteLa Tábula de las Descalzas
50 m"
13;Restaurantes y cafeterías;"Cafetería/barAlhama
100 m"
13;Atracciones turísticas destacadas;"Puerta del Sol
400 m"
13;Atracciones turísticas destacadas;"Plaza de Oriente
500 m"
13;Atracciones turísticas destacadas;"Plaza de Santa Ana
800 m"
13;Atracciones turísticas destacadas;"Jardines de Sabatini
800 m"
13;Atracciones turísticas destacadas;"Museo Thyssen-Bornemisza
1,3 km"
13;Atracciones turísticas destacadas;"Templo de Debod
1,3 km"
13;Atracciones turísticas destacadas;"Plaza de Cibeles
1,4 km"
13;Atracciones turísticas destacadas;"Casa de Campo
1,8 km"
13;Atracciones turísticas destacadas;"Museo Reina Sofía
1,8 km"
13;Atracciones turísticas destacadas;"Parque de El Retiro
2,2 km"
13;Entorno natural;"BosqueMonte del Pilar
14 km"
13;Transporte público;"MetroEstación de metro Callao
250 m"
13;Transporte público;"MetroEstación de metro Ópera
300 m"
13;Transporte público;"TrenBilbao
1,5 km"
